faculty,programme,entry_requirement
Faculty of Applied Communication (FAC),Doctor of Philosophy (Ph.D.) – Communication (By Research),"Field of Research Corporate Communication Public Relations Health Communication Intercultural Communication Digital Media Literacy Advertising and Persuasion Strategic Communication Communication Related Area Entry Requirements A Master’s degree (Level 7, MQF) in the field or related fields accepted by the Senate; OR A Master’s degree (Level 7, MQF) in non-related fields as accepted by the Senate, subject to having relevant working experience and rigorous internal assessment; OR A Master’s degree (Level 7, MQF) in non-related fields as accepted by the Senate and without relevant working experience, subject to passing pre-requisite courses; OR A Bachelor’s degree with minimum CGPA of 3.67 or equivalent in the field or related field from MMU or institutions recognised by the Senate can be accepted subject to rigorous internal assessment; OR Other qualifications equivalent to a Master’s degree (Level 7, MQF) in the field recognised by Malaysian Government English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 3 years, Max. 5 years Part-Time: Min. 4 years, Max. 7 years Intake Throughout the year"
Faculty of Applied Communication (FAC),Foundation in Communication Program,Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of five (5) credits including English; OR Pass UEC with a minimum of three (3) Bs including English. Programme Structure Trimester 1 Communicative English Communication Studies Fundamentals of Visual Communication Discovering Mass Communication Reasoning and Advocacy Fundamentals of Media Writing Trimester 2 Social and Emotional Health Public Speaking Essential English Communication and Culture Introduction to Digital Content Entrepreneurship Digital Media Applications/ Social Network Application Trimester 3 Academic English Fundamentals of Integrated Marketing Communication Fundamentals of Digital Journalism and Broadcast Management
Faculty of Applied Communication (FAC),Diploma in Applied Communication,"Entry Requirements Pass in SPM /O-Level or its equivalent with a minimum of Grade C in at least three (3) subjects, inclusive of English; OR Pass STPM or its equivalent with a minimum of Grade C (GPA 2.00) in any one (1) subject including a minimum of Grade C in English at SPM/O-Level or its equivalent; OR Pass in STAM with a minimum Grade Maqbul (Pass) in any one (1) subject including a credit in SPM English or its equivalent; OR Pass UEC with a minimum of three (3) Bs including English; OR Pass SKM Level 3 or any qualifications equivalent to Certificate (Level 3, MQF) including Pass SPM with a credit in English or its equivalent; OR Pass a Certificate or its equivalent including a credit in English at SPM or its equivalent; OR Pass a Certificate in Media and Communication or its equivalent; OR Posses an APEL.A certificate from MQA for admission into Diploma programmes. Programme Structure Year 1 Fundamentals of Strategic Communication Communication Theories Social Media Strategies English for Academic Purposes Stakeholders Management Public Relations Strategies Strategic Thinking and Planning Media Culture Fundamentals of English Media Law Workplace Communication Year 2 Communication Research Methodology Integrated Promotional Communication Marketing Communication Strategies Corporate Strategy Media Publishing and Corporate Design Corporate Communication Intercultural Communication Corporate Writing Semiotic Studies Negotiation in Professional Contexts Design Thinking for Strategic Communication Fundamentals of Digital Competence with Basic Programming Internship Year 3 Capstone Project Crisis Communication Strategy Event Planning and Management Corporate Advertising Corporate Reputation Management Elective Subjects Multimedia Applications for Communication Creativity and Innovation Korean Language 1 Korean Language 2 Korean Language 3 Consumer Trends Office Application for Professionals Chinese Language 1 Chinese Language 2 Chinese Language 3 Corporate Training Becoming A Leader Professional Image and Etiquette French Language 1 French Language 2 French Language 3"
Faculty of Applied Communication (FAC),Bachelor of Communication (Strategic Communication) (Hons),"Entry Requirements Pass Matriculation / Foundation or its equivalent, with minimum CGPA 2.00 including a minimum of Grade C in English at SPM/O-Level or its equivalent; OR Pass STPM or its equivalent with a minimum of Grade C (GPA 2.00) in any two (2) subjects including a minimum of Grade C in English at SPM/O-Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects; OR Pass STAM with a minimum Grade Jayyid (Good) in two (2) subjects including a credit in SPM English or its equivalent; OR Pass UEC with a minimum of five (5) Bs including English; OR Pass a Diploma or its equivalent, with minimum CGPA 2.00 including a credit in English at SPM or its equivalent; OR Pass a Diploma in Media and Communication or its equivalent; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.* OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a Note: *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 • Fundamentals of Strategic Communication • Communication Theories • Media Culture • Fundamentals of English • Stakeholders Management • Media Law • English for Academic Purposes • Intercultural Communication • Public Relations Strategies • Marketing Communication Strategies • Workplace Communication Year 2 • Corporate Communication • Social Media Strategies • Media Publishing and Corporate Design • Strategic Thinking and Planning • Integrated Promotional Communication • Semiotic Studies • Multimedia Applications for Communication Year 3 • Corporate Strategy • Design Thinking for Strategic Communication • Crisis Communication Strategy • Event Planning and Management • Corporate Reputation Management • Corporate Advertising • Corporate Writing • Negotiation in Professional Contexts • Capstone Project • Internship Elective Modules • Creative Writing • Consumer Trends • Creativity and Innovation • Becoming A Leader • Corporate Training • Professional Image and Etiquette • Office Application for Professionals • Spanish Language 1 • Korean Language • French Language 1 • Chinese Level 1 • Japanese Language 1 • German Language 1 • Spanish Language 2 • Korean Language 2 • French Language 2 • Chinese Level 2 • Japanese Language 2 • German Language 2 • Spanish Language 3 • Korean Language 3 • French Language 3 • Chinese Level 3 • Japanese Language 3 MPU Courses U1 • Hubungan Etnik • Tamadun Islam dan Tamadun Asia • Pengajian Malaysia 3 (International Students) • Bahasa Malaysia Komunikasi 2 (International Students) U2 • Bahasa Kebangsaan A • Entrepreneurship and Lean Start-up U3 • Stress & Well-Being among Malaysians U4 • Personal Social Responsibility Career Prospects Corporate Communication Professional, Journalist, Advertising and Sales Promotion Executive, Strategic Communication Programme Personnel, Corporate Communication Officer, Public Information Officer, Media Broadcaster, Communication Adviser, Public Relations Personnel, Publicity Consultant."
Faculty of Business (FOB),Diploma in Digital Business,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Credit in at least three (3) subjects, and at least a Pass in English; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any subject AND a Pass in English at SPM Level or its equivalent; OR Pass STAM with a minimum Grade of Maqbul (Pass) AND a Pass in English at SPM Level or its equivalent; OR Pass UEC with a minimum of Grade B in at least three (3) subjects and at least a Pass in English; OR Pass SKM (Level 3, MQF) in a related field; OR A Certificate (Level 3, MQF) in the related field with at least CGPA of 2.00; OR Possess an APEL.A certificate from MQA for admission into Diploma programmes. Note Upon completing the diploma programme, students who intend to pursue their studies in MMU will need to meet the entry requirements of the bachelor’s degree programme of their choice. Programme Structure Year 1 Business Management Microeconomics Digital Business Venture & Strategy Business Accounting Introduction to Digital & Social Media Marketing Character Building Business Communication in the Digital Age Principle of Marketing Web Design Fundamentals of Business and Ethics Business Finance Introduction to Information System Digital Logistics and Supply Chain Management Year 2 Quantitative Analysis Macroeconomics Business System Development Web Development and Application Cybersecurity Introduction to Financial Technology Business Analytics People Management Operations Management E-Commerce Decision Support System for Management Digital Business Project Electives Two (2) subjects should be taken from the following: – Introduction to Financial Technologies – Resource Planning Systems – Business Analytics University Courses U1 – Philosophy and Current Issues/ Penghayatan Etika dan Peradaban (Local)/ Bahasa Melayu Komunikasi 1 (International) U2 – Basic Academic Writing/ Grooming and Professional Etiquette/ Bahasa Kebangsaan A U3 – Introduction to Cultural Practices in Malaysia/ Family and Society in Malaysia U4 – Personal Social Responsibility Character Building Sustainable Society Career Prospects Digital Business Entrepreneur, Social Media Marketer, Digital Business Consultant"
Faculty of Business (FOB),Master of Philosophy (Management) (By Research),"Fields of Research Accounting & Governance Marketing Human Resource Management & Organizational Behaviour Financial Economics Global Strategy & Operation Management Information Technology Governance & Innovation Entrepreneurship Entry Requirements A Bachelor’s degree (Level 6, MQF) in the field or related fields with a minimum CGPA of 2.75 or equivalent, as accepted by the HEP Senate; or A Bachelor’s degree (Level 6, MQF) in the field or related fields with a minimum CGPA of 2.50 and not meeting CGPA of 2.75 or equivalent, can be accepted subject to rigorous internal assessment; or A Bachelor’s degree in the field or related fields with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment; or A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the HEP Senate, subject to having relevant working experience and rigorous internal assessment; or A Bachelor’s degree in non-related field with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment; or A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and without relevant working experience, subject to passing pre-requisite courses; or Other qualifications equivalent to a Bachelor’s degree (Level 6, MQF) recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 1 year, Max. 3 years Part-Time: Min. 2 years, Max. 5 years Intake"
Faculty of Business (FOB),Doctor of Philosophy (Ph.D.) Management (By Research),"Fields of Research Human resource management International business Entrepreneurship Management Knowledge management Banking and finance Economics Accounting E-commerce Entry Requirements A Master’s degree (Level 7, MQF)  in the field or related fields as accepted by the HEP Senate; or A Master’s degree (Level 7, MQF) in non-related fields as accepted by the HEP Senate, subject to having relevant working experience and rigorous internal assessment; or A Master’s degree (Level 7, MQF) in non-related fields as accepted by the HEP Senate and without relevant working experience, subject to passing pre-requisite courses; or A Bachelor’s degree with minimum CGPA of 3.67 or equivalent in the field or related field from MMU or institutions recognised by Senate can be accepted subject to rigorous internal assessment; or Other qualifications equivalent to a Master’s degree (Level 7, MQF) in the field recognised by Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 2 years, Max. 5 years Part-Time: Min. 3 years, Max. 7 years Intake Throughout the year"
Faculty of Business (FOB),Master of Business Administration (M.B.A) (By Coursework),"Entry Requirements A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the HEP Senate; OR A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and with relevant working experience, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and without working experience, subject to passing pre-requisite courses; OR Other equivalent/related qualifications to a Bachelor’s degree (Level 6, MQF) recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Part-Time: 2 – 5 years Intake June, August, October, December 2023 March, July, October 2024"
Faculty of Business (FOB),Foundation in Business,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects, inclusive of English; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of English OR a minimum of Grade C in English at SPM/O-Level or its equivalent. Additional Requirement to pursue Bachelor of Accounting (Honours), Bachelor of Finance (Hons) and Bachelor of Financial Engineering (Hons): A Credit in Mathematics at SPM Level or its equivalent. Programme Structure Trimester 1 Microeconomics Fundamentals of Business Management Computer Applications Introduction to Quantitative Analysis Communicative English Trimester 2 Introduction to Cost and Management Accounting Introduction to Digital Business Essential English Trimester 3 Introduction to Financial Accounting Basic Macroeconomics Fundamentals of Personal Finance Group Dynamics Academic English Critical Thinking"
Faculty of Business (FOB),Diploma in Business Administration,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Credit in at least three (3) subjects, and at least a Pass in English; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any subject AND a Pass in English at SPM Level or its equivalent; OR Pass STAM with a minimum Grade of Maqbul (Pass) AND a Pass in English at SPM Level or its equivalent; OR Pass UEC with a minimum of Grade B in at least three (3) subjects and at least a Pass in English; OR Pass SKM (Level 3, MQF) in a related field; OR A Certificate (Level 3, MQF) in the related field with at least CGPA of 2.00; OR Possess an APEL.A certificate from MQA for admission into Diploma programmes. Note Upon completing the diploma programme, students who intend to pursue their studies in MMU will need to meet the entry requirements of the bachelor’s degree programme of their choice. Programme Structure Core Year 1 Microeconomics Business Accounting Principles of Marketing Macroeconomics Business Finance Business Management Introduction to Information Systems Business Communication in the Digital Age Web Design Fundamentals of Business and Ethics Logistics and Supply Chain Management Introduction to Digital Marketing & Analytics Project Management Innovation and Design Thinking Year 2 Introduction to Financial Technology Strategic Management Business Analytics Recruitment and Selection E-Commerce People Management Operations Management Principles of Sales Management Introduction to Investment Quantitative Analysis Elective Modules TWO (2) or FOUR (4) courses should be taken from the following: Company Law Introduction to Investment Innovation and Design Thinking Introduction to Event Management Digital Personal Branding & Professionalism Introduction to Multimedia and Creative Multimedia University Courses U1 – Philosophy and Current Issues/ Penghayatan Etika dan Peradaban (Local)/ Bahasa Melayu Komunikasi 1 (International) U2 – Basic Academic Writing/ Grooming and Professional Etiquette/ Bahasa Kebangsaan A U3 – Introduction to Cultural Practices in Malaysia/ Family and Society in Malaysia U4 – Personal Social Responsibility Character Building Sustainable Society"
Faculty of Business (FOB),Diploma in Accounting,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least three (3) subjects inclusive of Mathematics and a Pass in English; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any subject AND a Credit in Mathematics and a Pass in English at SPM Level or its equivalent; OR Pass STAM with a minimum Grade of Maqbul (Pass) AND a Credit in Mathematics and a Pass in English at SPM Level or its equivalent; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of Mathematics and a Pass in English; OR Pass SKM Level 3 in a related field AND Pass SPM with a Credit in Mathematics and a Pass in English; OR A certificate or its equivalent in a related field; OR Possess an APEL.A certificate from MQA for admission into Diploma programmes. Note Upon completing the diploma programme, students who intend to pursue their studies in MMU will need to meet the entry requirements of the bachelor’s degree programme of their choice. Programme Structure Core Year 1 Management Fundamentals of Marketing Computer & Software Applications Introductory Microeconomics Financial Accounting 1 Financial Accounting 2 Financial Accounting 3 Computerised Accounting Information System Taxation 1 Management Accounting 1 Quantitative Techniques Introductory Microeconomics English Business Communication in the Digital Age Character Building Environmental Social and Governance Year 2 Managing Human Resources Introductory Macroeconomics Auditing 1 Auditing 2 Taxation 2 Management Accounting 2 Financial Accounting 4 Principles of Business Law Principles of Company Law Introduction to Organisational Behaviour Principles of Finance Elective Subjects TWO (2) or FOUR (4) courses should be taken from the following: Electronic Business Introduction to Business Fundamentals of Entrepreneurship Managing Human Resources Introduction to Investment Introduction to Organisational Behaviour University Courses U1 – Philosophy and Current Issues/ Penghayatan Etika dan Peradaban (Local)/ Bahasa Melayu Komunikasi 1 (International) U2 – Basic Academic Writing/ Grooming and Professional Etiquette/ Bahasa Kebangsaan A U3 – Introduction to Cultural Practices in Malaysia/ Family and Society in Malaysia U4 – Personal Social Responsibility • Character Building • Sustainable Society"
Faculty of Business (FOB),Bachelor in Accounting (Hons.),"Entry Requirements A pass in Matriculation/Foundation qualification or its equivalent with a minimum CGPA of 2.50; OR A pass in Sijil Tinggi Persekolahan Malaysia (STPM) or its equivalent, with a minimum of Grade C+ (GP 2.33) in two subjects; OR A pass in Sijil Tinggi Agama Malaysia (STAM) with a minimum grade of Jayyid (good); OR Pass A-Level with a minimum of Grade D in 2 subjects; OR A pass in Diploma (Level 4, MQF) with minimum of CGPA of 2.50); OR Diploma in Accounting fields (Level 4, MQF) or equivalent with a minimum CGPA of 2.50. Candidates with a CGPA below 2.50 but more than 2.00 may be admitted subject to a thorough rigorous assessment; OR Diploma Kemahiran Malaysia (DKM) / Diploma Vokasional Malaysia (DVM) in Accounting fields with a minimum CGPA of 2.50 subjected to HEP Senate / Academic Board’s approval*; OR Diploma Lanjutan Kemahiran Malaysia (DLKM) in Accounting fields with a minimum CGPA of 2.50 subjected to HEP Senate / Academic Board’s approval*; OR Possess an Advanced Diploma (Level 5, MQF) in accounting or related field with a least a CGPA of 2.50; OR Other relevant and equivalent qualifications recognised by the Malaysian Government; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes.  For more information, please visit https://www.mmu.edu.my/apel-a/ AND i. Credit in Mathematics at SPM level or its equivalent AND ii. Pass in English at SPM Level or a minimum score of band 3 in MUET or equivalent**; OR For international student, achieve a minimum of Band 3.5 in MUET or equivalent to CEFR (High B1)"
Faculty of Business (FOB),Bachelor of Business Administration (Hons.) Banking and Finance,"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field*; OR Possess APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a . Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) * DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Financial Accounting for Managers Information systems Concepts Mathematics for Managers Fundamental of Marketing English for Business Studies English for Business Communication Introductory Macroeconomics Understanding Management Statistics for Managers Financial Management I Fundamental of Business and Entrepreneurship Managing Organisational Behaviour Year 2 Management Accounting for Managers Introductory Microeconomics Financial Management II Bank Management Financial Markets and Institutions Psychology Business and Commercial Laws Business Information Systems Islamic Banking and Finance Offshore Banking and Finance Industrial Training Year 3 Business Ethics Business Research Methods Analysis and Valuation of Financial Statements Credit Management International Finance Investment Management of Strategy Quality and Operations Management Banking and Finance Research Project Corporate Financial Management Financial Derivatives Malaysian Economy Electronic Business University Subjects • Character Building • Sustainable Society • Philosophy and Current Issues • Appreciation of Ethics and Civilizations / Bahasa Melayu Komunikasi 2 (International) • Bahasa Kebangsaan A • Integrity and Leadership • Co-curriculum Career Prospects Financial Manager, Credit Analyst, Loan Officer, Branch Manager, Trust Officer, Financial Analyst, Investment Advisor, Financial Planner, or even as a Business Owner."
Faculty of Business (FOB),Bachelor of Business Administration (Hons.) Human Resource Management,"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field*; OR Possess APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a . Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) * DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 English for Business Communication Quantitative Analysis Models for Business Entrepreneurship and Ethical Practices Understanding Management Human Capital and Organisational Behaviour Introductory Microeconomics Financial Management Fundamentals of Marketing Financial Accounting for Managers Digital Business International Business Year 2 Quality and Operations Management Introductory Macroeconomics Business Risk Management Introduction to Financial Technologies Business Research Methods Management of Strategy Business Information Systems Data Analytics for Business Business Application Development Cyber Security Occupational Safety and Health Performance Management Recruitment and Selection International Human Resource Management Compensations and Benefits Year 3 Supply Chain Management Innovation Management OR International Trade and Policy Project Management Strategic Management Information Systems or Business Intelligence Labour Laws Human Resource Management Research Project Industrial Relations Human Resource Information Systems Training and Development Industrial Training Elective Modules TWO (2) subjects should be taken from the following: Occupational Safety and Health Basic Human Resource Consulting International Human Resource Management Negotiation at Workplace Organisational Development The other ONE (1) elective subject may be taken from the above list OR any major and elective subject offered by the BBA/BBKM programmes in the Faculty University Subjects Character Building Sustainable Society Philosophy and Current Issues Appreciation of Ethics and Civilizations / Bahasa Melayu Komunikasi 2 (International) Bahasa Kebangsaan A Integrity and Leadership Co-curriculum Career Prospects Human resource management professionals such as Human Resource Manager, Corporate Recruiters, Labour Relations Manager, HR Consultant And Training Specialist."
Faculty of Business (FOB),Bachelor of Business Administration (Hons.) International Business,"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field*; OR Possess APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a . Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) * DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 Entrepreneurship and Ethical Practices English for Business Communication Financial Management Fundamentals of Marketing Financial Accounting for Managers Human Capital and Organisational Behaviour Introductory Microeconomics Introductory Macroeconomics Quantitative Analysis Models for Business Understanding Management Business Risk Management Year 2 International Business International Economics Innovation Management or Social Media and Digital Marketing Introduction to Financial Technologies Business Information Systems Digital Business Data Analytics for Businesses Global Finance Management of Strategy Occupational Safety and Health Quality and Operations Management Understanding Consumer Year 3 Business Research Methods Global Operations Management International Trade and Policy International Management International Marketing Issues in International Business Legal Environment of International Business Project Management Strategic Management Information Systems or Business Intelligence Supply Chain Management International Business Research Project Industrial Training Elective Modules TWO (2) subjects should be taken from the following: Global Operations Management International Political Economy Issues in International Business International Human Resource Management Supply Chain Management International Economics Enterprise Systems Planning and Management The other ONE (1) elective subject may be taken from the above list OR any major and elective subject offered by the BBA/BBKM programmes in the Faculty University Subjects Character Building Sustainable Society Philosophy and Current Issues Appreciation of Ethics and Civilizations / Bahasa Melayu Komunikasi 2 (International) Bahasa Kebangsaan A Integrity and Leadership Co-curriculum Career Prospects Managers and executives in multinational corporations; business owners; analysts, advisors, and specialists in banking and financial services; logistics; import-export management; production and operations; international marketing; HRM; and other service-oriented professions."
